same partner: 38
twice repeated opponents: 52
unequal byes: 0
total: 90
1+13v20+5,16+3v8+7,15+12v10+4,11+19v17+14,6+2v9+18;
1+14v17+11,3+2v10+8,18+5v15+7,19+20v6+16,12+4v13+9;
1+16v18+6,10+13v8+14,12+7v2+17,9+11v5+3,19+15v20+4;
2+7v14+10,4+17v15+11,9+5v18+20,13+12v19+1,8+3v16+6;
2+13v19+18,7+9v8+4,12+3v15+20,5+1v16+14,17+11v10+6;
4+2v6+5,16+15v1+11,9+14v19+7,3+20v8+12,13+17v18+10;
4+16v10+1,2+6v8+20,3+7v18+11,14+19v5+15,12+13v17+9;
4+20v11+3,15+8v17+1,6+19v18+10,14+2v12+9,13+16v7+5;
8+11v18+1,6+3v7+5,20+14v9+4,2+12v17+16,19+13v10+15;
11+2v12+7,10+19v17+16,8+1v20+18,9+15v5+13,3+4v14+6;
12+17v3+14,5+15v6+7,1+20v10+19,16+9v18+11,2+4v13+8;
12+18v5+14,6+13v16+20,15+11v19+8,10+17v9+3,4+1v2+7;
14+12v20+11,15+10v2+8,19+5v4+1,7+13v6+17,18+16v9+3;
14+13v15+3,8+10v7+20,5+11v19+2,9+6v16+17,1+12v18+4;
17+7v13+4,9+5v8+6,2+20v16+11,12+14v15+1,3+18v19+10;
19+3v17+5,18+7v12+10,15+13v8+16,4+6v14+20,11+1v2+9;
19+4v9+8,3+13v1+11,6+16v7+14,12+5v10+2,17+15v18+20;
20+13v15+2,10+18v4+14,16+5v8+11,1+3v9+17,6+19v12+7;
20+19v17+18,11+7v15+14,4+3v2+16,8+12v13+5,1+6v10+9;
