8+14v11+12,2+1v4+3,13+10v15+16,6+5v7+9
3+1v5+7,9+11v13+15,2+4v6+8,10+12v14+16
11+8v14+15,3+6v9+12,13+16v5+2,1+4v7+10
9+13v1+5,4+8v12+16,3+7v10+14,2+6v11+15
3+2v11+16,14+7v10+15,1+6v12+13,8+5v4+9
2+14v3+9,7+1v13+8,5+11v6+4,15+12v10+16
12+6v13+7,4+5v14+11,1+8v15+9,2+16v3+10
1+9v2+10,7+15v8+16,3+11v4+12,5+13v6+14
5+14v6+15,3+12v4+13,7+16v8+9,1+10v2+11
3+13v4+14,11+1v12+2,5+15v6+16,7+8v10+9
5+16v6+9,8+10v7+11,1+12v2+13,3+14v4+15
8+12v11+13,1+14v2+15,3+16v4+10,5+9v7+6
13+1v3+15,4+7v5+10,2+8v16+9,6+11v12+14
9+14v10+11,3+8v4+16,5+12v13+6,1+15v2+7
1+16v2+9,7+12v6+10,13+14v8+15,3+5v4+11
